AS35203,S.C. Colibris Software S.R.L,NULL
AS53825,ALAMEDA COUNTY MEDICAL CENTER,NULL
AS16797,2nd Century Communications,NULL
AS5703,Tiger Management Coporation,NULL
AS61381,ST Holding LLC,NULL
AS36542,Gwinnett County Government,NULL
AS46478,Castor Networks Corporation,NULL
AS58367,Karmazin Sergey Alexandrovich,Ukraine
AS45069,china tietong Shandong net,NULL
AS67,Unisys Corporation,NULL
AS44948,LAST.FM LTD,NULL
AS52429,Credomatic de Costa Rica S.A.,NULL
AS32248,Reliam Inc.,NULL
AS12205,Sachem Central School District,NULL
AS44547,ASU doctor Ltd,NULL
AS39019,ELECTRONIC ARTS ROMANIA SRL,NULL
AS18239,Beijing Capital Public Information Platform,China
AS16638,Corning Incorporated,NULL
AS42121,RSNET Autonomous System,NULL
AS19329,Martin County Board of County Commissioners,NULL
AS25187,FRANCE CITEVISION SAS,France
AS26437,THE CLEARING HOUSE PAYMENTS COMPANY L.L.C.,NULL
AS6821,Makedonski Telekom,Macedonia
AS63063,Apsalar Inc.,NULL
AS32597,NEW WAVE NET CORPORATION,NULL
AS44893,Com Telecom Ltd,NULL
AS15062,Meridian Business Centers,NULL
AS17659,NewSat Ltd,Australia
AS7965,Universidad Catolica Andres Bello,Venezuela
AS57784,NDS Limited,NULL
AS14071,PQ Corporation,NULL
AS15880,Private entrepreneur Chikalin Anatoly Nikolaevich,NULL
AS19156,Siemens Engineering Automation,NULL
AS58584,IDP Education Pty Ltd,Australia
AS15879,IS Group B.V.,Netherlands
AS53009,Bacth Servicos de Informatica Ltda,NULL
AS53001,TELECOMUNICACOES,NULL
AS199225,Park Hotel Vitznau AG,NULL
AS11151,Interliant,NULL
AS42278,BelCel JV Ltd.,NULL
AS6656,Star Technology Services Limited,NULL
AS14011,DesignData,NULL
AS699,KANOBE INC,NULL
AS199730,Neil Westlake,NULL
AS14806,Buy.com,NULL
AS46423,Coldwell Banker Residential Brokerage,NULL
AS27805,Telecomunicaciones S.A. E.S.P.,Colombia
AS48591,Ipreo Ltd,NULL
AS2842,Goteborgs universitet,NULL
AS37482,BI,NULL
AS19608,Canadian Blood Services,NULL
AS56521,Fringland LTD,Israel
AS49981,WorldStream,Netherlands
AS41730,MA3X Ltd.,Bulgaria
AS45742,Infotech Enterprises Limitied.,India
AS51755,Nova Prompt SRL,Romania
AS49859,Kopideja Ltd,NULL
AS49181,Scientific and Production Cooperative AMN,NULL
AS22716,Netarx Inc.,NULL
AS133333,Frontier Networks Pty Ltd,Australia
AS38681,The Korea Economic Daily,NULL
AS49769,Teracom AB,Sweden
AS19821,ALCOHOL COUNTERMEASURE SYSTEMS CORP,NULL
AS14861,ISC Group,NULL
AS15417,Autonomous System,Germany
AS60997,Stadt Koeln,Germany
AS13075,CJSC Megalabs,NULL
AS25100,Non state educational institution Educational Scientific and Experimental Center of Moscow Institute of Physics and Technology,NULL
AS41798,JSC Transtelecom,Kazakhstan
AS47875,Autonomous System Provincia di Padova,Italy
AS46932,Anchorage School District,NULL
AS56692,KBER Bank Kazani limited liability company,NULL
AS12184,Forrester Research,India
AS58298,Cisco Systems Norway AS,Norway
AS14066,Telmetrics Inc.,Canada
AS131694,PT.Jaringan Bisnis Khatulistiwa,Indonesia
AS28190,BUREAU DE COMERCIO E SERVICOS LTDA,NULL
AS33798,Megacom ISP Autonomous System,Ukraine
AS28732,Anixe Polska Sp. z o.o.,Poland
AS8827,CELSA IT SERVICES SA,Spain
AS55474,Master Capital Services Ltd,India
AS20959,Telecom Italia S.p.A.,Italy
AS39457,Lufthansa Systems FligthNav AS,Switzerland
AS36323,Ezri Inc,NULL
AS22402,Nextera Communications LLC,NULL
AS6718,NAV DATACENTER TELECOM SRL,Romania
AS12709,Melita plc.,Malta
AS132909,ACT Government InTACT Group,Australia
AS40583,Columbia Gorge Education Service District,NULL
AS60881,T.C. Basbakanlik Afet ve Acil Durum Yonetim Baskanligi,NULL
AS53757,Unilink Networks Inc.,NULL
AS21366,KYMP OY,Finland
AS57249,Iname.pl Rafal Galinski,Poland
AS52296,Trynet S.R.L.,Argentina
AS54618,SlickDeals,NULL
AS28177,Ltda.,NULL
AS21559,OSNET Wireless,NULL
AS10271,Meganet Communications,NULL
AS196895,Uprava Republike Slovenije za javna placila,Slovenia
AS44739,IZO GROUP NETWORK SRL,Romania
AS34863,HEXANET SAS,France
AS10047,Namseoul university,NULL
AS16141,AUTOMATICA SRL,Italy
AS132143,Harbour City SecurityLimited,NULL
AS17492,Vector Communications LTD.,NULL
AS28831,Phoenix Informatica srl,Italy
AS62809,VOLT BROADBAND,NULL
AS42706,itsystems AG,Switzerland
AS11628,Ontario Institute for Cancer Research,Canada
AS11269,LinkBermuda LTD,Bermuda
AS17070,UBS AG,NULL
AS61032,Evenex Aps,Denmark
AS55873,Shiodome City Center 15F,Japan
AS46122,Digital Business Controls,NULL
AS47692,Nessus GmbH,Austria
AS11710,ABBA TECHNOLOGIES,NULL
AS199026,alternatYva S.r.l.,Italy
AS9660,Telecommunication and ISP company,NULL
AS47256,Clickservice Technologies LTD,Israel
AS23366,LSU Health Sciences Center,NULL
AS45924,Global Technologies Limited,NULL
AS17566,Powerlan Limited,Australia
AS9583,Sify Limited,India
AS47741,MIX electronics S.A.,Poland
AS20853,eTOP sp. z o.o.,Poland
AS46862,ASC,NULL
AS43735,Genedata AG,Germany
AS57964,SkyNet LLC,NULL
AS198582,Municipal Enterprise International Airport Donetsk,Ukraine
AS24471,USsoftware P Ltd.,India
AS26843,UICI Student Insurance Division,NULL
AS37895,Ryukoku University,NULL
AS199153,PSF Maximum LLC,NULL
AS681,The University of Waikato,Australia
AS61323,Goncharov Yuriy Sergeevich PE,NULL
AS47402,Multimedia BG EOOD,Bulgaria
AS17016,The MEDIA COTTAGE Inc.,NULL
AS50656,Optix Software Ltd,NULL
AS34875,OJSC Rostelecom,NULL
AS198376,ZAO NTC Landata,NULL
AS19839,Sands Casino Resort Bethlehem,NULL
AS57557,GUP VCKP Zilishnoe hozyaistvo,NULL
AS62697,NULEEF COMMUNICATIONS LLC,NULL
AS51962,ERDENI SRL,Romania
AS34744,S.C. GVM SISTEM 2003 S.R.L.,Romania
AS19060,Bryan Health,NULL
AS36838,INFOIMAGE OF CALIFORNIA,NULL
